population,female_rate,median_age,per_cap_income,median_household_income,poverty,household,person_per_household,non_family_percentage,married,number_of_house_unit,occupied,renter_occupied,highschool,bachelor,language,placeofbirth,veteran,geoid,tractce
"4,113",N/A,33.2,"$88,961","$164,327",20.1%,"2,024",2,N/A,N/A,"2,301",N/A,N/A,95.8%,76.5%,N/A,20.3%,3.3%,6075020202,20202
"4,386",N/A,35.8,"$61,474","$96,964",13.5%,"1,427",3.1,N/A,N/A,"1,522",N/A,N/A,68%,46.9%,N/A,40.1%,0.7%,6075022901,22901
